t,theta1,omega1,theta2,omega2,energy
0.0,1.5707963267948966,0.0,1.5777963267948967,0.0,0.06866943919637332
0.001,1.5707914217949808,-0.009809999663014358,1.5777963267947281,-6.739288071125349e-10,0.0686694391963721
0.002,1.5707767067962455,-0.019619997300280606,1.577796326792199,-5.398037362356536e-09,0.0686694391963708
0.003,1.5707521818017367,-0.029429990866230507,1.5777963267812214,-1.825648374420455e-08,0.06866943919636842
0.004,1.5707178468165643,-0.039239978275655715,1.577796326751592,-4.3401382410402487e-08,0.06866943919636878
0.005,1.5706737018479513,-0.04904995738388813,1.577796326688907,-8.508678174014571e-08,0.06866943919636578
0.006,1.5706197469053036,-0.058859925966980774,1.577796326574444,-1.4770264072417513e-07,0.06866943919636678
0.007,1.5705559820002986,-0.0686698817018893,1.5777963263850079,-2.3580880457295817e-07,0.06866943919636716
0.008,1.5704824071469947,-0.07847982214665437,1.577796326092745,-3.5416897891882116e-07,0.06866943919636709
0.009000000000000001,1.5703990223619602,-0.08828974472058514,1.577796325664922,-5.077847022591388e-07,0.06866943919636784
0.01,1.5703058276644213,-0.09809964668444393,1.5777963250636702,-7.019293163351168e-07,0.06866943919636694
0.011,1.570202823076431,-0.10790952512063248,1.5777963242456985,-9.421819340304555e-07,0.06866943919636305
0.012,1.570090008623058,-0.11771937691337989,1.5777963231619692,-1.2344614044182856e-06,0.06866943919636004
0.013000000000000001,1.5699673843325934,-0.12752919872893262,1.5777963217573416,-1.5850602744818465e-06,0.06866943919635882
0.014,1.5698349502367794,-0.13733898699574676,1.5777963199701817,-2.0006787470402208e-06,0.06866943919635488
0.015,1.5696927063710573,-0.147148737884683,1.577796317731937,-2.4884586343616285e-06,0.0686694391963521
0.016,1.5695406527748341,-0.15695844728920444,1.5777963149666785,-3.0560173068557607e-06,0.06866943919634945
0.017,1.5693787894917706,-0.16676811080557796,1.577796311590608,-3.7114816362851526e-06,0.0686694391963462
0.018000000000000002,1.5692071165700878,-0.17657772371307912,1.5777963075115313,-4.463521932738829e-06,0.0686694391963419
0.019,1.5690256340628947,-0.18638728095420146,1.5777963026282982,-5.321385874703446e-06,0.06866943919633736
0.02,1.5688343420285342,-0.19619677711487046,1.5777962968302077,-6.294932431365303e-06,0.06866943919633275
0.021,1.5686332405309498,-0.2060062064046626,1.5777962899963804,-7.394665776329161e-06,0.06866943919632869
0.022,1.5684223296400717,-0.21581556263703042,1.577796281995096,-8.63176919177435e-06,0.06866943919632473
0.023,1.568201609432223,-0.22562483920953375,1.577796272683097,-1.0018138962086532e-05,0.06866943919632292
0.024,1.5679710799905457,-0.23543402908407818,1.577796261904859,-1.1566418255806924e-05,0.06866943919631997
0.025,1.5677307414054455,-0.2452431247671613,1.5777962494918274,-1.3290030994768424e-05,0.06866943919631596
0.026000000000000002,1.567480593775058,-0.25505211829012736,1.5777962352616184,-1.520321570917768e-05,0.06866943919631313
0.027,1.5672206372057327,-0.26486100118943134,1.5777962190171886,-1.7321059377231118e-05,0.06866943919630558
0.028,1.566950871812539,-0.2746697644869132,1.5777962005459696,-1.9659531247887355e-05,0.06866943919630059
0.029,1.5666712977197892,-0.28447839867008345,1.5777961796189681,-2.223551664520802e-05,0.06866943919629356
0.03,1.5663819150615843,-0.29428689367242056,1.5777961559898337,-2.50668507526516e-05,0.06866943919628797
0.031,1.5660827239823765,-0.30409523885368195,1.5777961293938916,-2.8172352375561246e-05,0.06866943919628207
0.032,1.5657737246375534,-0.31390342298022894,1.5777960995471423,-3.1571857679994646e-05,0.06866943919627655
0.033,1.565454917194041,-0.3237114342053675,1.5777960661452275,-3.528625390591616e-05,0.06866943919626903
0.034,1.5651263018309272,-0.3335192600497055,1.5777960288623623,-3.933751305269396e-05,0.06866943919626235
0.035,1.564787878740103,-0.3433268873815283,1.577795987350233,-4.3748725534644986e-05,0.06866943919625412
0.036000000000000004,1.5644396481269265,-0.35313430239719373,1.5777959412368625,-4.8544133804363505e-05,0.06866943919624881
0.037,1.5640816102109025,-0.3629414906015481,1.5777958901254412,-5.374916594129932e-05,0.0686694391962415
0.038,1.5637137652263857,-0.37274843678836483,1.5777958335931244,-5.93904692030791e-05,0.0686694391962344
0.039,1.5633361134233001,-0.38255512502080696,1.577795771189797,-6.549594353676353e-05,0.06866943919622653
0.04,1.5629486550678804,-0.3923615386119161,1.5777957024368032,-7.20947750472413e-05,0.06866943919621672
0.041,1.5625513904434312,-0.4021676601051286,1.5777956268256446,-7.921746941972938e-05,0.0686694391962067
0.042,1.5621443198511067,-0.4119734712548219,1.577795543816643,-8.689588529321477e-05,0.06866943919619968
0.043000000000000003,1.5617274436107091,-0.421778953006892,1.5777954528375715,-9.516326758156657e-05,0.06866943919618844
0.044,1.5613007620615076,-0.4315840854793649,1.577795353282251,-0.00010405428073884235,0.06866943919618063
