t,theta1,omega1,theta2,omega2,energy
0.0,1.5707963267948966,0.0,1.5727963267948966,0.0,0.019619986920000835
0.001,1.5707914217949206,-0.0098099999035777,1.5727963267948484,-1.9278598651694356e-10,0.01961998691999956
0.002,1.5707767067952831,-0.019619999224786362,1.5727963267941236,-1.5488962971327912e-09,0.019619986919997667
0.003,1.5707521817968653,-0.029429997361431804,1.5727963267909646,-5.265641291988561e-09,0.01961998691999706
0.004,1.5707178468011682,-0.03923999367166961,1.572796326782385,-1.2608303326546084e-08,0.01961998691999476
0.005,1.5706737018103634,-0.04904998745418013,1.5727963267640854,-2.494412254886097e-08,0.01961998691999422
0.006,1.5706197468273613,-0.05885997792834363,1.5727963267303338,-4.377628245870284e-08,0.01961998691999386
0.007,1.5705559818559012,-0.06866996421441568,1.5727963266738125,-7.077789509733343e-08,0.019619986919994035
0.008,1.5704824069006595,-0.07847994531370275,1.5727963265854323,-1.0782598580112911e-07,0.019619986919992043
0.009000000000000001,1.5703990219673796,-0.08828992008873829,1.5727963264541105,-1.5703547733404953e-07,0.019619986919989056
0.01,1.5703058270630197,-0.09809988724345915,1.5727963262665163,-2.207931732513072e-07,0.019619986919989455
0.011,1.5702028221959217,-0.10790984530338268,1.572796326006782,-3.017917403411247e-07,0.019619986919990312
0.012,1.5700900073759991,-0.1177197925957845,1.5727963256561803,-4.030636898715318e-07,0.01961998691998721
0.013000000000000001,1.5699673826149463,-0.12752972722987704,1.5727963251927672,-5.280153574296275e-07,0.01961998691998771
0.014,1.5698349479264648,-0.13733964707698934,1.5727963245909913,-6.804608810316731e-07,0.01961998691998444
0.015,1.569692703326513,-0.14714954975074787,1.5727963238212688,-8.646561771957026e-07,0.01961998691998161
0.016,1.5695406488335717,-0.15695943258725895,1.5727963228495254,-1.0853329145559464e-06,0.019619986919979064
0.017,1.5693787844689335,-0.1667692926252929,1.572796321636703,-1.3477324846308506e-06,0.01961998691997699
0.018000000000000002,1.5692071102570087,-0.17657912658647015,1.5727963201382325,-1.657639969188059e-06,0.019619986919970814
0.019,1.569025626225653,-0.1863889308554499,1.5727963183034745,-2.0214181037363164e-06,0.019619986919969117
0.02,1.568834332406514,-0.1961987014601213,1.5727963160751235,-2.4460412364592893e-06,0.01961998691996244
0.021,1.5686332288353981,-0.20600843405179786,1.5727963133885798,-2.9391292819534476e-06,0.019619986919958584
0.022,1.5684223155526573,-0.21581812388541555,1.5727963101712867,-3.508981669030526e-06,0.019619986919956017
0.023,1.5682015926035944,-0.2256277657997349,1.5727963063420345,-4.16461128169055e-06,0.019619986919950885
0.024,1.5679710600388903,-0.2354373541975478,1.5727963018102293,-4.915778392462474e-06,0.019619986919947582
0.025,1.5677307179150493,-0.2452468830258895,1.5727962964751294,-5.773024587037365e-06,0.019619986919944245
0.026000000000000002,1.5674805662948643,-0.2550563457562566,1.5727962902250467,-6.747706679176041e-06,0.01961998691993907
0.027,1.5672206052479034,-0.26486573536483127,1.5727962829365145,-7.852030614698334e-06,0.019619986919933476
